station_name,station_id,demand_hour,demand_day,lat,lng
Prospect Park SW & 10 Ave,3611.02,-1.560621522533716,-59.58987798904957,40.659921169,-73.977347374
64 St & Woodbine St,5057.09,0.5917158848496002,11.063154148151185,40.70809,-73.89549
Hancock St & Malcolm X Blvd,4342.04,-0.1856057958878694,-17.65348756435678,40.68487,-73.9293
Kingsland Ave & Nassau Ave,5613.04,4.191741526429887,129.24636188556497,40.725788951,-73.941720724
Leonard St & Maujer St,5148.03,-1.4680825824176253,-23.98099234062557,40.710333943,-73.946931005
Bushwick Ave & Linden St,4600.09,-1.0,-24.0,40.69146,-73.92146
Queens Blvd & Albion Ave,6056.02,0.5063147826022087,14.418853152198775,40.73856,-73.88553
Monroe St & Marcus Garvey Blvd,4467.03,0.47309254089648833,-13.145365974578251,40.686722,-73.938988
Driggs Ave & Lorimer St,5481.04,-3.919320309822114,-87.31396854249896,40.72179134,-73.9504154
McDonald Ave & Vanderbilt St,3394.03,2.0,48.0,40.651839137,-73.981263041
Prospect Pl & Nostrand Ave,4025.02,-0.6792998060408115,-25.71159826589008,40.674287915,-73.95052135
Nelson Ave & W 172 St,8290.01,-0.3797267898284843,-6.680997271217033,40.843900204,-73.92099607
Corona Ave & 92 St,6155.03,1.0,24.0,40.742605805,-73.872517228
46 St & 30 Rd,6703.06,-0.5402752403710089,-22.047285377417396,40.76072,-73.910989
Parkside Ave & Parade Pl,3376.04,-0.5536584017920954,-16.498356151548784,40.653075218,-73.966556311
Clarkson Ave & Nostrand Ave,3472.03,-0.25698540729720554,-10.851244255057747,40.6555,-73.94975
Clarkson Ave & E 37 St,3463.01,1.0,24.0,40.65577,-73.9432
E 134 St & Walnut Ave,7613.04,-9.256429996471733e-220,-1.8621068220356226e-218,40.800696492,-73.910918117
Cambridge Pl & Gates Ave,4377.04,-1.5621084658882756,-25.00520354676811,40.684997082,-73.963216186
Bergen St & Mother Gaston Blvd,4055.04,0.7809392945404802,19.654997895634338,40.67374,-73.90852
Menahan St & Central Ave,4672.01,-0.414675164935883,-7.120896321797697,40.695501328,-73.919577837
President St & Nostrand Ave,3839.02,-0.4568907632272605,-20.9652106944693,40.66811,-73.9505
Ashland Pl & Dekalb Ave,4513.09,-1.0954439461834258,-32.85754951142534,40.690109134,-73.978821993
DeKalb Ave & Franklin Ave,4528.01,1.6198508256482311,72.32536851262658,40.690642118,-73.957532763
Winthrop St & Nostrand Ave,3544.02,0.221132734598944,10.389334027213014,40.65707,-73.95005
35 St & 23 Ave,7047.07,1.3462428076579325,43.57719729156281,40.772840381,-73.911324024
26 Ave & 2 St,7165.01,0.19870779347823597,10.106256561651108,40.77684387,-73.93463418
Central Ave & Weirfield St,4591.04,-0.39086251912199693,-6.8234934578070385,40.690577865,-73.911854506
Corona Ave & 90 St,6123.02,-0.6194263014313788,-16.27529926039447,40.741595507,-73.874805331
Riverside Dr & W 153 St,8108.02,0.6115798097231365,17.207569381133403,40.831918836,-73.949719548
Myrtle Ave & Linden St,4816.02,-0.29546896764426245,-5.5259103851399,40.69943,-73.91337
Wyckoff Ave & Stanhope St,4931.05,-1.0196216206870852,-47.548901742872665,40.703545,-73.917775
Steinway St & 23 Ave,7009.02,1.0000000000000002,24.000000000000007,40.7713937,-73.9077436
Throop Ave & Myrtle Ave,4697.01,-1.1921897490456224,-34.024800673044176,40.696146727,-73.943536997
Jefferson Ave & Patchen Ave,4375.02,-1.3673167074992971,-30.519540858469362,40.68609,-73.92628
Queens Blvd & Broadway,5930.02,0.15064134941999097,-3.809597373260379,40.736620784,-73.877275705
Cedar St & Myrtle Ave,4751.01,1.0,24.0,40.697842,-73.926241
W 190 St & Broadway,8474.02,0.1180718108265405,7.487607840783789,40.856472611,-73.932913423
Pioneer St & Richards St,4128.08,0.9999999999999997,23.999999999999993,40.6776824,-74.009307504
Jefferson Ave & Evergreen Ave,4517.03,0.9909387683346731,10.580138985184577,40.689871192,-73.914549947
61 St & Laurel Hill Blvd,5998.09,-0.25891642850969143,-4.9782848755064,40.738911271,-73.903375864
Clermont Ave & Park Ave,4692.01,-0.1708182121605052,-9.760278032409467,40.69570303,-73.971368909
Menahan St & Wyckoff Ave,4890.11,-0.6122990902650425,-17.21673780500399,40.701054931,-73.914423585
Chauncey St & Stuyvesant Ave,4196.05,-1.4262011465767657,-44.574866105425016,40.680093408,-73.931731343
Linden St & Knickerbocker Ave,4743.04,1.2786722800078536,35.13637933788927,40.697248697,-73.915513992
Knickerbocker Ave & Thames St,5018.06,-0.4815764877972703,-7.906691961669705,40.70539,-73.92976
Seaman Ave & Isham St,8665.02,-0.27772177805983844,-11.123789967008385,40.870023847,-73.920597792
Harrison Pl & Porter Ave,5090.06,-1.1218808169362557,-19.81897891683412,40.70686,-73.92851
Madison St & Evergreen Ave,4560.01,-0.7400986111319345,-13.11067177103892,40.691256881,-73.916801214
Jay St & Tech Pl,4710.06,-2.817864446805335,-96.35739532760475,40.695345521,-73.986858249
Sterling Pl & Ralph Ave,3958.02,1.0,24.0,40.67095,-73.92222
41 St & 4 Ave,3347.03,-0.9999999999999999,-23.999999999999996,40.651354,-74.007168
Flushing Ave & Woodward Ave,5225.02,-1.5563968708756006,-46.2602044281064,40.712433577,-73.918939471
Prospect Pl & Underhill Ave,4116.08,-0.028391681010289993,-8.091927436198816,40.6769694,-73.96579
Knickerbocker Ave & Hancock St,4663.02,-2.0,-48.0,40.69397068,-73.909769535
Willoughby St & Ashland Pl,4587.02,-2.4287133921786404,-55.29171106398976,40.69178,-73.97877
Fresh Pond Rd & 69 Ave,4945.06,-0.6810853842357782,-18.138313051700745,40.70311,-73.89547
Barry St & Tiffany St,7844.05,0.2407160351311963,4.69397260244318,40.816188455,-73.891522527
39 Ave & 45 St,6401.03,-2.3075923107971112,-59.5235452615671,40.74947822183477,-73.91826465725897
36 St & Hunters Point Ave,5992.02,-1.0,-24.0,40.737819076,-73.930147171
Lefferts Ave & Schenectady Ave,3710.07,-1.5761574977300994,-40.76718639177332,40.663472414,-73.934759617
Bay St & Court St,3931.09,2.0,48.0,40.671409,-74.001328
Prospect Ave & Longwood Ave,7870.02,-1.4544350183340395,-37.620783571643386,40.818864584,-73.901890993
Pacific St & Sackman St,4014.01,0.44313964600189215,12.65418182254639,40.67522,-73.9061
Water St & Gouverneur Ln,4993.15,2.4491840858538065,55.53503002949418,40.70469667894968,-74.00803416967392
E 174 St & Longfellow Ave,8144.09,-0.35027086932649937,-6.293080945166549,40.83630383,-73.884454489
Eastern Pkwy & Troy Ave,3862.07,0.21322179454571522,10.28896670257426,40.66929,-73.93679
Stuyvesant Ave & Gates Ave,4458.06,-1.0,-24.0,40.688512921,-73.93313694
62 St & Northern Blvd,6536.02,-0.4522872215340691,-13.588422001372052,40.754176,-73.900318
51 Ave & Corona Ave,6213.01,0.8144017040040132,20.21843805096402,40.743812203,-73.855820179
51 Ave & Alstyne Ave,6180.05,-1.9125254280348847,-46.0630112329966,40.74311,-73.85715
Washington Ave & Greene Ave,4419.03,-0.5579198714397846,-24.309692754695224,40.686485648,-73.965665221
Eastern Pkwy & Ralph Ave,3845.05,-1.0,-24.0,40.66852,-73.92284
72 St & Woodside Ave,6141.02,-0.5279336924793656,-14.760978192069382,40.742952228,-73.892843485
34 Ave & 71 St,6493.03,-0.25820444391665687,-18.50994014055235,40.75258863,-73.895581722
Broadway & W 185 St,8416.07,0.20969401104895913,10.244387292789629,40.852409601,-73.934541464
51 St & 43 Ave,6242.1,0.7960418503543951,27.134097714338452,40.74456954,-73.914053559
Central Park West & W 76 St,7253.04,-1.6330737337279775,-111.35442940246887,40.779011846,-73.973798752
W 95 St & Broadway,7541.01,-0.9999999999999997,-23.999999999999993,40.793925405,-73.971885324
W 26 St & 10 Ave,6382.05,-3.210923994106644,-82.25991774237097,40.749790907,-74.00316906
E 58 St & 1 Ave (NW Corner),6723.1,0.5070488328650382,15.966519931752254,40.759187579,-73.9631145
56 Ave & 92 St,5962.04,-0.3126629807826635,-5.773290474406489,40.736495852,-73.869840264
65 Ln & Metropolitan Ave,5199.01,0.09189938857955138,-3.229966186440265,40.712252855,-73.894018888
Southpoint Park,6566.01,-0.9151465309339117,-15.265652517550977,40.753603697,-73.958842158
Stewart Ave & Johnson Ave,5123.07,0.38588803197325466,6.760113079722209,40.70868957,-73.925737143
W Tremont Ave & Matthewson Rd,8428.04,-1.0,-24.0,40.853734493,-73.920832753
21 Ave & 80 St,7060.02,-1.0,-24.0,40.770818114,-73.889917493
48 St & 2 Ave,3283.05,0.634870707326856,16.5420806301619,40.650148392,-74.015521169
111 St & Roosevelt Ave,6448.07,0.273243450929255,5.196556889627342,40.751762271,-73.855941057
Wallabout St & Kent Ave,4826.04,0.598295478263591,17.039881080531213,40.699068069,-73.960847855
River Ave & E 153 St,8005.08,0.642564325099126,17.611060036915255,40.824499011,-73.927956104
Knickerbocker Ave & Moffat St,4582.08,-0.801513780983826,-25.65505316888268,40.690510273,-73.903897524
60 Pl & Flushing Ave,5431.01,0.4834613039968585,13.359307559445732,40.71988,-73.90556
Taylor St & Bedford Ave,4982.02,-1.0,-24.0,40.705763102,-73.963322401
Skillman Ave & 54 St,6276.05,0.33609366357740006,6.100464610880426,40.745502,-73.909887
Lee Ave & Taylor St,5053.01,-1.0,-24.0,40.706815124,-73.961137652
Church Ave & E 45 St,3341.06,-0.7456897952409345,-18.559636201472387,40.651610613,-73.935458064
Winthrop St & Schenectady Ave,3526.04,-0.760354391757899,-18.841025710361826,40.658182859,-73.93379879
E 21 St & Church Ave,3294.03,-3.188382630587424e-48,-7.652118313409818e-47,40.650006533,-73.959938407
New York Ave & Snyder Ave,3246.06,0.6682567713300178,17.130431027406086,40.64870429,-73.946430683
Bushwick Ave & Stagg St,5140.06,1.6869841884454377e-38,4.04876205226905e-37,40.709897,-73.94008
Buchanan Pl & Grand Ave,8535.01,1.0,24.0,40.858504653,-73.906171322
Chauncey St & Howard Ave,4293.05,-0.6444469949429334,-17.636153363032513,40.681594968,-73.919379115
Arthur Ave & E 183 St,8430.03,-1.277457839573018,-33.9118398973523,40.853077412,-73.889676094
5 Ave & 37 St,3379.03,1.0,24.0,40.652657,-74.002356
Church Ave & Story St,3007.05,0.3477990533393118,12.075409568915973,40.642031,-73.981073
72 St & Northern Blvd,6570.06,0.33442651890527875,11.890071452985483,40.754754066,-73.89470315
Andrews Ave S & W 179 St,8483.02,0.7277065012509528,18.817768351987656,40.855156,-73.91278
Davidson Ave & W Burnside Ave,8441.05,-1.0,-24.0,40.853544712,-73.908798695
Flatbush Ave & Fenimore St,3520.01,-0.8956295149481657,-15.037925225685818,40.657780409,-73.960396409
Crotona Pkwy & Elsmere Pl,8252.03,-0.4768984048542123,-13.962441263391241,40.841923237,-73.885499239
Broadway & Van Cortlandt Park S,8879.02,1.0,24.0,40.886155367,-73.899839401
Bedford Ave & Fenimore St,3552.09,-0.36796833166258247,-6.528089254229695,40.658061862,-73.956583381
Clarkson Ave & Troy Ave,3454.01,2.669813421756388e-50,8.250170715165074e-49,40.656345606,-73.936264992
Morris Ave & E Burnside Ave,8441.01,1.84503064889585,38.43339563267295,40.853276849,-73.905414104
St Marks Ave & Rochester Ave,4039.04,-0.4470767712914838,-13.510133435412603,40.674110532,-73.927580118
Carroll St & Utica Ave,3782.03,0.3069296839248694,5.691502990234164,40.666222095,-73.931649089
21 Ave & Shore Blvd,7342.01,-1.0,-24.0,40.783914924,-73.916717052
88 St & Astoria Blvd,6848.04,-1.0,-24.0,40.764322519,-73.881217122
E 153 St & E 157 St,8025.01,-0.38839273651066714,-6.79208084432834,40.826596379,-73.929302335
Greene Ave & Myrtle Ave,4784.02,-0.4605432985441738,-7.667187406865298,40.698568,-73.918877
Bus Slip & State St,4889.06,-1.091751578893867,-46.085920859142774,40.70156467,-74.0138942
20 Ave & Shore Blvd,7391.02,-0.5961476645750665,-15.879447865609597,40.786105037,-73.915203929
2 Ave & 32 St,3532.02,-0.3864420620699199,-7.8251947463156855,40.659176,-74.006584
St James Pl & Pearl St,5167.06,-1.6153231884852803,-48.963280610553056,40.71117416,-74.00016545
Matthews Ct & Coney Island Ave,3034.02,0.8936564895326875,27.012813957036812,40.64235,-73.96951
60 Ave & Fresh Pond Rd,5321.08,-0.2974764692814654,-6.248553585173928,40.71693,-73.90198
E 16 St & Cortelyou Rd,3070.04,-1.9999999999999996,-47.999999999999986,40.64173,-73.96364
Beverley Rd & E 49 St,3187.01,1.8220613225846258,44.35175612677363,40.646234989,-73.930608392
34 St & 5 Ave,3451.01,-0.7870138615155423,-19.755050261491178,40.654188156,-74.001265287
Beaver St & Fayette St,4840.06,1.0545057628018186,32.386075500501605,40.700996876,-73.939212203
Tilden Ave & Nostrand Ave,3172.01,1.2093989125166098,32.85254419720428,40.646806002,-73.949454308
5 Ave & 67 St,2782.02,3.573526047022756e-22,8.576462512854616e-21,40.635679,-74.020005
E 3 St & Church Ave,3046.03,-0.6550269505001576,-17.77843625751341,40.643817,-73.977433
Schenectady Ave & President St,3822.08,1.0,24.0,40.667430282,-73.934093952
60 Pl & Bleecker St,5138.03,0.20530943283868208,8.790064914699226,40.711174846,-73.903108239
34 Ave & 48 St,6554.05,2.1437998104236744,65.16966612474963,40.75388,-73.914952
Cortelyou Rd & Argyle Rd,2984.04,0.5045568699568341,-5.072227892498606,40.68621695,-73.98739635
Dyckman St & Staff St,8655.02,3.2743770671155805,96.36791717435167,40.868739128,-73.931321144
W Tremont Ave & Montgomery Ave,8407.03,1.4863028697312686,38.10723311855597,40.851792455,-73.916400433
St Johns Pl & Howard Ave,3917.03,-1.0,-24.0,40.66994381,-73.920146823
Southern Blvd & E 174 St,8163.05,1.0,24.0,40.836765409,-73.887879968
Putnam Ave & Wyckoff Ave,4735.03,-0.7339248370738625,-26.367788633155165,40.697945833,-73.908898115
Prospect Park SW & Greenwood Ave,3385.06,0.6728499644815984,25.635181452393645,40.652525187,-73.972639561
West Farms Rd & Boone Ave,8076.08,0.14462420201032397,3.048384114249995,40.8301283948092,-73.88630211353302
New York Ave & Montgomery St,3728.05,-0.1986054450492526,-10.104974670959301,40.66509,-73.94824
